"","date","observed","estmate","estmate.l","estmate.h","table_phase"
"1",2020-03-02,"18",91.2278761047086,0.526002635781261,616.06423633125,"Training"
"2",2020-03-03,"27",145.402007506979,0.700467258903216,990.831980490606,"Training"
"3",2020-03-04,"28",224.098055789225,0.934008589908017,1509.8633619228,"Training"
"4",2020-03-05,"41",333.45599549253,1.24674014940811,2184.56418776376,"Training"
"5",2020-03-06,"49",479.042984609164,1.66316504031104,3011.81265299947,"Training"
"6",2020-03-07,"36",664.766351942059,2.20738938514006,3973.357409973,"Training"
"7",2020-03-08,"133",891.818468194359,2.89576224860532,5036.97665154605,"Training"
"8",2020-03-09,"97",1158.14633990609,3.73063014394293,6368.33227895068,"Training"
"9",2020-03-10,"168",1459.74706067556,4.70281570288867,7878.69963486674,"Training"
"10",2020-03-11,"196",1790.08294158747,5.78583772359167,9510.34219847345,"Training"
"11",2020-03-12,"0",2141.78866931018,6.95108747376714,11273.493163855,"Training"
"12",2020-03-13,"439",2505.7250745245,8.15397263349949,13052.7731903174,"Training"
"13",2020-03-14,"175",2872.46900547085,9.34656960035164,14783.4439336689,"Training"
"14",2020-03-15,"368",3233.05366956717,10.4873982417128,16407.4625654534,"Training"
"15",2020-03-16,"349",3578.39491762789,11.5397590349633,17871.1700561207,"Training"
"16",2020-03-17,"345",3899.97727645828,12.4653949819681,19387.9337454585,"Training"
"17",2020-03-18,"475",4191.2633313442,13.2415020205722,20714.9691265103,"Training"
"18",2020-03-19,"427",4445.60411179246,13.8466710800525,21752.0449476143,"Training"
"19",2020-03-20,"627",4660.01802770167,14.2843005924578,23246.7974627908,"Training"
"20",2020-03-21,"793",4829.74595244418,14.534275138877,24769.578772203,"Validation"
"21",2020-03-22,"651",4954.30373803604,14.6114621117845,26044.6264902984,"Validation"
"22",2020-03-23,"601",5034.35570423568,14.5264063644705,27053.8954000344,"Validation"
"23",2020-03-24,"743",5070.76103498164,14.2944452653683,27785.8174783329,"Validation"
"24",2020-03-25,"683",5065.89966037566,13.935773782509,28246.3095979033,"Validation"
"25",2020-03-26,"712",5022.04791015613,13.4686600685334,28431.1444239947,"Validation"
"26",2020-03-27,"919",4941.56515174393,12.8959175202091,28345.9702911032,"Validation"
"27",2020-03-28,"889",4831.68756993265,12.2698077173122,28136.4063174818,"Validation"
"28",2020-03-29,"756",4693.62065493155,11.5828928016884,27703.3699455486,"Validation"
"29",2020-03-30,"812",4533.36552271395,10.8666307192453,27073.7554755138,"Validation"
"30",2020-03-31,"837",4354.76811519567,10.1271005195865,26263.8766109015,"Validation"
"31",2020-04-01,"727",4160.22277274715,9.37504456801684,25292.5061309119,"Validation"
"32",2020-04-02,"760",3957.37096309996,8.63887847784783,24214.7881664186,"Validation"
"33",2020-04-03,"766",3746.28280443968,7.90858245326833,23026.0413356828,"Validation"
"34",2020-04-04,"681",3533.44687844205,7.20973970135164,21781.2717808871,"Validation"
"35",2020-04-05,"525",3320.32963478773,6.55161729168859,20496.2421876537,"Validation"
"36",2020-04-06,"636",3108.12531852975,5.92471266129564,19181.2409867474,"Validation"
"37",2020-04-07,"604",2899.75572438772,5.33234699508192,17861.0810359815,"Validation"
"38",2020-04-08,"542",2696.67030543049,4.78103531573548,16549.203628048,"Validation"
"39",2020-04-09,"610",2501.19959952229,4.26973554478297,15267.9797957608,"Validation"
"40",2020-04-10,"570",2314.69241087471,3.80298893230671,14030.9990518542,"Validation"
"41",2020-04-11,"619",2136.62155534444,3.37199952856385,12837.3953671827,"Validation"
"42",2020-04-12,"431",1968.51305317775,2.98118911057277,11700.594762571,"Validation"
"43",2020-04-13,"566",1810.2602101783,2.62635110027954,10624.0796988458,"Validation"
"44",2020-04-14,"602",1662.14137314391,2.30958524911146,9613.35437042914,"Validation"
"45",2020-04-15,"578",1524.20214260936,2.02341381286931,8668.47234740881,"Validation"
"46",2020-04-16,"525",1395.74351725757,1.76548812999149,7787.35161001897,"Validation"
"47",2020-04-17,"575",1277.66752007852,1.54059078946824,6978.70083614533,"Validation"
"48",2020-04-18,"482",1168.3205418809,1.33795975570984,6280.97810691006,"Validation"
"49",2020-04-19,"433",1068.25303955921,1.1603502591735,5747.64139905818,"Validation"
"50",2020-04-20,"454",976.38110409862,1.00348480989919,5250.80806864998,"Validation"
"51",2020-04-21,"534",892.512908091843,0.866791761263926,4791.18564882175,"Validation"
"52",2020-04-22,"437",816.248371792235,0.747866726715073,4369.45129727972,"Validation"
"53",2020-04-23,"464",746.452480791868,0.643533647028741,3980.74195440083,"Validation"
"54",2020-04-24,"420",683.115699897436,0.551777616730102,3626.66589080321,"Validation"
"55",2020-04-25,"415",625.583215485617,0.471838621462542,3303.23760255448,"Validation"
"56",2020-04-26,"260",573.61730978202,0.403726166470721,3010.13872260523,"Validation"
"57",2020-04-27,"333",526.615082670627,0.345565496701591,2744.58775900482,"Validation"
"58",2020-04-28,"382",483.861126253356,0.294044795603331,2504.27041348472,"Validation"
"59",2020-04-29,"323",445.21640161466,0.250699386868633,2286.94922839138,"Validation"
"60",2020-04-30,"285",410.166060611147,0.212762220846242,2090.82514214109,"Validation"
"61",2020-05-01,"269",378.484942591079,0.18067276095579,1919.97233872419,"Validation"
"62",2020-05-02,"474",349.859847461931,0.153663029967528,1770.65057323634,"Validation"
"63",2020-05-03,"174",323.701859358842,0.129047479807263,1635.41412646162,"Validation"
"64",2020-05-04,"NA",300.195145381314,0.109000568010135,1514.01502567706,"Validation"
"65",2020-05-05,"NA",278.761382549487,0.0917064157060362,1403.88973388651,"Validation"
"66",2020-05-06,"NA",259.367239109522,0.0773664568403913,1304.80121989246,"Validation"
"67",2020-05-07,"NA",241.711682201506,0.0651222985102596,1215.22379648745,"Validation"
"68",2020-05-08,"NA",225.506209489023,0.0545648167848328,1133.60382543192,"Validation"
"69",2020-05-09,"NA",210.814142154143,0.0459807879894782,1060.08486393181,"Validation"
"70",2020-05-10,"NA",197.317950346415,0.0384943929328043,993.00034939734,"Validation"
"71",2020-05-11,"NA",184.999807661791,0.0324350673512936,932.294065523536,"Validation"
"72",2020-05-12,"NA",173.670809835858,0.0273990946207747,876.891465441953,"Validation"
"73",2020-05-13,"NA",163.182466092885,0.0225263996712863,837.552024913029,"Validation"
"74",2020-05-14,"NA",153.589205818485,0.01873320501612,804.611033718943,"Validation"
"75",2020-05-15,"NA",144.724038801998,0.0155871323098999,772.816333617324,"Validation"
